ROLL NO,VEGC,P&S,DLD,DM,DBMS,SLL,DBMSL,JP,JPL
21231A6601,8,6,7,7,9,9,8,8,10
21241A6602,9,7,8,7,8,9,9,7,9
21241A6603,6,0,7,6,6,6,6,5,8
21241A6604,8,6,8,9,9,9,10,8,9
21241A6605,9,7,7,9,9,9,8,7,8
 21241A6606,9,8,10,10,9,9,10,8,9
21241A6607,9,8,7,8,8,9,10,8,9
21241A6608,9,7,9,10,9,9,10,9,9
21241A6609,8,7,9,9,9,9,10,9,10
21241A6610,9,8,9,9,9,9,9,9,10
21241A6611,9,6,9,10,9,9,10,8,10
21241A6612,9,7,8,8,9,10,10,9,10
21241A6613,7,5,5,6,7,8,6,6,8
21241A6614,9,8,8,9,8,8,9,6,8
21241A6615,9,7,9,9,9,8,9,9,9
21241A6616,9,6,8,8,8,7,9,6,8
21241A6617,8,8,9,8,9,9,10,9,8
21241A6618,9,5,8,8,9,9,10,8,10
21241A6619,9,9,9,9,10,9,10,9,10
21241A6620,9,6,7,7,9,9,10,9,9
21241A6621,9,9,9,10,0,9,10,9,9
21241A6622,7,5,7,7,5,8,8,5,8
21241A6623,7,7,9,8,9,9,10,7,9
21241A6624,8,5,0,6,6,8,6,5,7
21241A6625,9,8,9,9,9,9,10,9,10
21241A6626,9,5,0,7,8,8,6,7,8
21241A6627,7,0,0,0,6,7,6,0,7
21241A6628,8,5,7,7,7,8,10,5,8
21241A6629,8,0,5,7,8,9,7,7,9
21241A6630,8,5,7,0,8,9,9,5,8
21241A6631,8,5,7,0,8,9,9,5,8
21241A6632,9,7,7,8,9,9,9,8,9
21241A6633,8,5,7,8,8,9,10,8,9
21241A6634,9,9,10,10,10,9,10,10,9
21241A6635,7,0,0,6,7,7,6,6,8
21241A6636,9,6,8,9,9,10,10,9,9
21241A6637,7,8,9,7,8,9,8,7,10
21241A6638,8,5,0,6,7,9,7,6,10
21241A6639,9,9,9,8,8,10,10,9,10
21241A6640,8,8,9,8,9,10,10,8,10
21241A6641,8,7,10,9,9,10,10,9,10
21241A6642,9,6,8,8,8,10,10,8,10
21241A6643,8,8,9,8,9,9,7,8,9
21241A6644,8,6,7,7,6,9,6,5,8
21241A6645,9,9,10,8,9,9,9,10,9
21241A6646,9,7,9,8,9,9,10,10,8
21241A6647,9,6,8,0,7,10,10,7,9
21241A6648,9,9,10,10,10,9,10,10,9
21241A6649,8,5,6,8,8,9,6,8,9
21241A6650,9,7,8,8,9,10,10,8,10
21241A6651,9,8,10,9,8,9,9,9,9
21241A6652,9,9,9,10,9,10,10,9,9
21241A6653,10,9,9,9,8,10,10,9,9
21241A6654,8,5,6,6,6,9,9,7,8
21241A6655,7,5,6,5,6,8,7,7,9
21241A6656,7,8,7,8,7,9,7,6,8
21241A6657,9,6,6,8,9,10,9,8,10
21241A6658,9,9,9,8,8,10,10,8,9
21241A6659,8,8,8,8,9,10,9,7,10
21241A6660,8,0,0,7,5,9,6,0,9
21241A6661,9,7,10,9,10,10,10,10,10
21241A6662,9,7,9,8,9,9,9,9,9
21241A6663,9,8,9,8,10,10,10,10,10
21241A6664,10,9,10,10,10,10,10,10,10
21241A6665,9,9,9,9,10,9,10,9,10
22245A6601,9,5,6,6,7,10,7,7,9
22245A6602,6,0,0,0,5,9,7,0,9
22245A6603,9,5,8,9,10,10,10,10,10
22245A6604,10,0,8,8,8,9,7,9,9
22245A6605,8,5,8,8,8,9,7,8,9
22245A6606,9,0,8,6,9,9,8,7,9
22245A6607,8,5,9,8,8,9,9,7,10
