ROLL NO,VEGC,P&S,DLD,DM,DBMS,SLL,DBMSL,JP,JPL
21241A6666,8,5,6,5,5,8,8,6,9
21241A6667,8,8,10,10,10,9,10,10,10
21241A6668,8,0,0,0,7,8,8,5,10
21241A6669,9,5,8,7,7,9,8,7,10
21241A6670,8,7,10,8,9,9,10,8,10
21241A6671,8,8,10,8,9,9,10,9,10
21241A6672,9,8,9,8,9,9,10,10,10
21241A6673,9,7,9,10,9,8,10,8,10
21241A6675,10,6,9,9,9,9,10,8,10
21241A6676,10,7,10,10,9,9,10,8,10
21241A6677,10,8,10,10,10,9,10,8,9
21241A6678,10,7,10,10,9,9,10,8,10
21241A6679,8,5,7,9,8,9,9,7,9
21241A6680,6,5,9,9,8,9,8,7,8
21241A6681,8,5,8,9,8,9,9,6,10
21241A6682,7,0,9,6,6,9,6,7,9
21241A6683,6,0,6,6,6,9,7,6,9
21241A6684,8,0,7,7,7,9,7,7,9
21241A6685,9,0,5,5,8,8,9,7,9
21241A6686,8,8,10,10,9,9,10,8,10
21241A6687,9,6,8,8,7,9,10,7,10
21241A6688,7,0,6,6,7,8,7,5,9
21241A6689,9,0,0,5,0,8,7,0,9
21241A6690,8,6,9,7,7,9,8,7,9
21241A6691,10,7,9,8,9,10,10,8,10
21241A6692,9,6,10,10,9,10,8,8,10
21241A6693,7,0,0,6,6,9,7,5,9
21241A6694,8,0,5,5,6,8,6,5,9
21241A6695,8,7,9,10,9,9,10,8,10
21241A6696,10,8,10,10,10,10,10,9,10
21241A6697,9,0,6,6,6,9,6,0,9
21241A6698,8,7,9,9,8,9,10,8,9
21241A6699,9,0,8,8,8,9,10,7,9
21241A66A0,9,0,8,9,9,8,10,7,7
21241A66A1,8,0,9,9,9,9,9,7,10
21241A66A2,9,7,9,10,9,9,10,8,10
21241A66A3,9,0,6,7,8,9,9,6,6
21241A66A4,9,8,10,10,9,10,10,7,10
21241A66A5,7,0,7,7,6,7,8,6,9
21241A66A6,9,7,10,10,9,9,9,8,10
21241A66A7,10,5,9,9,9,9,8,8,9
21241A66A8,10,9,10,10,10,10,10,9,10
21241A66A9,9,6,7,8,7,10,7,6,9
21241A66B0,8,7,9,7,9,9,8,7,9
21241A66B1,9,9,9,10,9,10,9,8,10
21241A66B2,9,9,10,10,10,10,10,9,10
21241A66B3,8,7,9,9,9,9,9,9,10
21241A66B4,7,5,0,8,7,10,10,6,7
21241A66B5,9,8,8,9,9,10,10,8,10
21241A66B6,8,5,6,6,7,10,8,6,7
21241A66B7,9,8,10,9,9,10,10,9,10
21241A66B8,8,9,8,9,9,10,10,8,10
21241A66B9,8,6,8,9,7,9,9,6,0
21241A66C0,8,6,7,8,6,9,8,7,7
21241A66C1,8,6,8,9,9,9,8,9,8
21241A66C2,7,5,7,7,7,9,7,7,7
21241A66C3,9,7,9,10,9,10,9,9,9
21241A66C4,8,0,6,7,7,9,7,5,7
21241A66C5,9,6,9,8,9,9,8,7,10
21241A66C6,10,9,9,9,10,10,8,10,10
21241A66C7,8,8,9,10,9,9,10,8,10
21241A66C8,8,9,10,10,9,9,10,9,10
21241A66C9,9,7,8,9,9,9,9,7,10
21241A66D0,7,5,6,8,7,9,7,7,8
22245A6608,8,6,7,6,8,10,9,7,8
22245A6609,6,5,6,0,7,9,7,6,7
22245A6610,9,5,10,8,9,10,10,9,10
22245A6611,8,0,9,7,8,9,9,7,9
22245A6612,7,7,9,8,8,9,8,9,10
22245A6613,8,5,5,7,7,9,8,7,7
22245A6614,7,6,7,7,7,9,8,7,8
