ROLL NO,VEGC,P&S,DLD,DM,DBMS,SLL,DBMSL,JP,JPL
21241A66D1,9,7,9,8,10,10,10,8,10
21241A66D2,8,5,7,7,8,8,6,6,8
21241A66D3,9,9,10,10,10,10,10,8,10
21241A66D4,8,5,8,10,8,10,9,7,9
21241A66D5,8,7,9,9,9,10,9,7,10
21241A66D6,7,7,8,8,8,10,8,7,10
21241A66D7,9,7,9,9,9,10,10,8,9
21241A66D8,8,8,8,9,9,10,8,8,10
21241A66D9,9,8,9,7,10,10,9,8,9
21241A66E0,10,8,10,10,10,10,10,10,10
21241A66E1,8,7,9,9,8,8,10,8,10
21241A66E2,9,9,9,9,10,10,10,9,10
21241A66E3,8,9,10,9,9,10,10,9,10
21241A66E4,8,9,10,10,10,10,9,9,10
21241A66E5,7,7,6,9,8,8,8,7,9
21241A66E6,10,5,8,8,8,10,10,9,9
21241A66E7,10,7,10,10,9,10,10,9,10
21241A66E8,10,0,9,9,10,10,10,9,10
21241A66E9,10,6,9,9,8,10,10,9,10
21241A66F0,10,7,10,10,10,10,10,10,10
21241A66F1,9,6,10,9,9,10,10,9,10
21241A66F2,8,0,6,7,8,10,8,6,9
21241A66F3,10,5,8,10,9,10,10,7,10
21241A66F4,6,0,0,5,5,8,7,5,8
21241A66F5,8,0,5,7,7,8,6,7,9
21241A66F6,10,8,9,9,10,10,10,9,10
21241A66F7,8,0,0,6,5,8,6,5,8
21241A66F8,10,0,9,9,8,10,9,8,9
21241A66F9,9,0,9,8,8,10,9,7,9
21241A66G0,9,0,0,7,7,8,6,6,8
21241A66G1,10,0,0,5,7,10,9,6,9
21241A66G2,9,0,7,8,8,10,9,0,9
21241A66G3,10,5,9,7,6,10,9,6,9
21241A66G4,9,0,7,7,6,8,7,6,8
21241A66G5,10,0,9,9,9,10,10,9,10
21241A66G6,10,7,10,10,9,8,10,9,9
21241A66G7,10,0,7,7,7,9,9,0,8
21241A66G8,10,7,9,9,8,10,10,9,10
21241A66G9,9,8,9,9,9,9,9,8,9
21241A66H0,9,6,10,9,9,10,10,8,10
21241A66H1,10,7,9,9,8,9,10,9,9
21241A66H2,9,0,7,7,6,8,8,0,9
21241A66H3,10,5,6,7,8,8,10,7,8
21241A66H4,9,0,7,7,8,9,10,8,9
21241A66H5,9,5,6,8,7,8,8,6,8
21241A66H6,9,6,9,9,8,9,9,9,9
21241A66H7,10,5,9,9,8,9,9,8,10
21241A66H8,10,8,10,10,9,9,10,10,10
21241A66H9,10,5,7,8,8,9,8,7,9
21241A66J0,9,5,7,7,8,9,10,8,9
21241A66J1,9,0,7,8,8,8,10,7,9
21241A66J2,7,0,6,7,6,8,10,5,8
21241A66J3,8,6,8,9,9,9,10,9,10
21241A66J4,10,8,10,10,10,9,10,10,10
21241A66J5,9,8,9,10,9,9,10,10,10
21241A66J6,10,8,10,10,10,9,10,10,10
21241A66J7,8,6,9,8,10,10,10,8,10
21241A66J8,7,6,8,8,7,9,10,7,10
21241A66J9,8,0,9,9,9,9,10,8,10
21241A66K0,8,6,7,8,8,9,9,7,8
21241A66K1,9,0,7,6,6,9,8,6,8
21241A66K2,7,0,6,6,6,7,7,5,7
21241A66K3,10,9,10,10,10,10,10,10,10
22245A6615,8,6,9,8,8,8,10,8,9
22245A6616,7,0,7,6,7,8,9,8,9
22245A6617,9,5,9,8,7,8,10,6,9
22245A6618,10,0,10,9,9,8,10,9,9
22245A6619,8,0,0,0,6,9,8,0,8
22245A6620,7,0,6,0,5,9,9,7,7
22245A6621,10,6,9,9,9,9,10,10,9
22248A6601,10,5,6,6,5,8,6,5,8
22248A6602,8,0,0,0,0,8,6,0,8
